_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibvol 1 FFAlpha 0.001542 1.19 small NA
oibvol 2 FFAlpha 0.002212 1.11 small NA
oibvol 4 FFAlpha 0.006939 2.47 small NA
oibvol 6 FFAlpha 0.007010 1.30 small NA
oibvol 8 FFAlpha 0.008405 0.93 small NA
oibvol 10 FFAlpha 0.009447 1.02 small NA
oibvol 12 FFAlpha 0.0188 1.83 small NA
oibvol 1 FFAlpha 0.000875 0.93 medium NA
oibvol 2 FFAlpha 0.002358 1.60 medium NA
oibvol 4 FFAlpha 0.005782 2.27 medium NA
oibvol 6 FFAlpha 0.0101 3.27 medium NA
oibvol 8 FFAlpha 0.0110 3.42 medium NA
oibvol 10 FFAlpha 0.0149 4.02 medium NA
oibvol 12 FFAlpha 0.0121 3.33 medium NA
oibvol 1 FFAlpha 0.000533 0.43 big NA
oibvol 2 FFAlpha -0.000708 -0.35 big NA
oibvol 4 FFAlpha -0.002416 -0.71 big NA
oibvol 6 FFAlpha -0.003165 -0.92 big NA
oibvol 8 FFAlpha -0.002232 -0.59 big NA
oibvol 10 FFAlpha -0.000515 -0.24 big NA
oibvol 12 FFAlpha -0.000496 -0.25 big NA
oibvol 1 FFAlpha 0.001212 1.06 NA NA
oibvol 1 RawReturn 0.000922 0.80 NA NA
oibvol 2 FFAlpha 0.001224 0.60 NA NA
oibvol 2 RawReturn 0.001098 0.53 NA NA
oibvol 4 FFAlpha 0.000361 0.13 NA NA
oibvol 4 RawReturn 0.000691 0.25 NA NA
oibvol 6 FFAlpha -0.001208 -0.40 NA NA
oibvol 6 RawReturn 0.001802 0.60 NA NA
oibvol 8 FFAlpha 0.001113 0.33 NA NA
oibvol 8 RawReturn 0.003914 1.29 NA NA
oibvol 10 FFAlpha 0.005486 1.96 NA NA
oibvol 10 RawReturn 0.005162 4.83 NA NA
oibvol 12 FFAlpha 0.004509 2.25 NA NA
oibvol 12 RawReturn 0.005399 3.29 NA NA
oibvol 1 FFAlpha 0.003502 1.52 small LOW
oibvol 2 FFAlpha 0.006685 1.47 small LOW
oibvol 4 FFAlpha 0.0114 1.30 small LOW
oibvol 6 FFAlpha 0.0189 1.22 small LOW
oibvol 8 FFAlpha 0.0235 1.19 small LOW
oibvol 10 FFAlpha 0.0173 0.65 small LOW
oibvol 12 FFAlpha 0.0312 1.03 small LOW
oibvol 1 FFAlpha -0.000452 -0.23 medium LOW
oibvol 2 FFAlpha 0.003708 1.09 medium LOW
oibvol 4 FFAlpha 0.0157 2.88 medium LOW
oibvol 6 FFAlpha 0.0262 3.23 medium LOW
oibvol 8 FFAlpha 0.0325 3.28 medium LOW
oibvol 10 FFAlpha 0.0322 2.76 medium LOW
oibvol 12 FFAlpha 0.0286 3.81 medium LOW
oibvol 1 FFAlpha -0.000097 -0.06 big LOW
oibvol 2 FFAlpha -0.001939 -0.71 big LOW
oibvol 4 FFAlpha -0.008425 -1.96 big LOW
oibvol 6 FFAlpha -0.0108 -2.03 big LOW
oibvol 8 FFAlpha -0.009011 -1.64 big LOW
oibvol 10 FFAlpha -0.006298 -1.39 big LOW
oibvol 12 FFAlpha -0.001297 -2.41 big LOW
