_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibvol 1 FFAlpha 0.000624 0.54 small NA
oibvol 2 FFAlpha 0.002147 1.05 small NA
oibvol 4 FFAlpha 0.006079 2.51 small NA
oibvol 6 FFAlpha 0.003775 1.07 small NA
oibvol 8 FFAlpha 0.008651 1.30 small NA
oibvol 10 FFAlpha 0.0104 1.22 small NA
oibvol 12 FFAlpha 0.0173 2.22 small NA
oibvol 1 FFAlpha 0.001826 2.07 medium NA
oibvol 2 FFAlpha 0.003234 2.05 medium NA
oibvol 4 FFAlpha 0.005421 2.51 medium NA
oibvol 6 FFAlpha 0.007642 3.88 medium NA
oibvol 8 FFAlpha 0.008382 3.71 medium NA
oibvol 10 FFAlpha 0.0121 3.72 medium NA
oibvol 12 FFAlpha 0.0103 3.18 medium NA
oibvol 1 FFAlpha -0.000078 -0.06 big NA
oibvol 2 FFAlpha -0.001724 -0.90 big NA
oibvol 4 FFAlpha -0.004082 -1.45 big NA
oibvol 6 FFAlpha -0.004837 -1.69 big NA
oibvol 8 FFAlpha -0.004591 -1.01 big NA
oibvol 10 FFAlpha -0.004407 -1.11 big NA
oibvol 12 FFAlpha -0.004448 -0.84 big NA
oibvol 1 FFAlpha 0.001353 1.14 NA NA
oibvol 1 RawReturn 0.001006 0.84 NA NA
oibvol 2 FFAlpha 0.001268 0.75 NA NA
oibvol 2 RawReturn 0.000916 0.54 NA NA
oibvol 4 FFAlpha 0.000496 0.26 NA NA
oibvol 4 RawReturn 0.000410 0.24 NA NA
oibvol 6 FFAlpha -0.002054 -0.95 NA NA
oibvol 6 RawReturn 0.0000621 0.03 NA NA
oibvol 8 FFAlpha 0.000567 0.14 NA NA
oibvol 8 RawReturn 0.002457 0.75 NA NA
oibvol 10 FFAlpha 0.003969 1.10 NA NA
oibvol 10 RawReturn 0.003652 1.73 NA NA
oibvol 12 FFAlpha 0.002176 0.51 NA NA
oibvol 12 RawReturn 0.003525 1.21 NA NA
oibvol 1 FFAlpha 0.004072 1.83 small LOW
oibvol 2 FFAlpha 0.007841 1.52 small LOW
oibvol 4 FFAlpha 0.0146 1.69 small LOW
oibvol 6 FFAlpha 0.0206 1.36 small LOW
oibvol 8 FFAlpha 0.0195 1.04 small LOW
oibvol 10 FFAlpha 0.0148 0.57 small LOW
oibvol 12 FFAlpha 0.0288 0.97 small LOW
oibvol 1 FFAlpha 0.000216 0.11 medium LOW
oibvol 2 FFAlpha 0.002287 0.68 medium LOW
oibvol 4 FFAlpha 0.0130 2.46 medium LOW
oibvol 6 FFAlpha 0.0188 2.29 medium LOW
oibvol 8 FFAlpha 0.0243 2.93 medium LOW
oibvol 10 FFAlpha 0.0262 2.65 medium LOW
oibvol 12 FFAlpha 0.0244 3.27 medium LOW
oibvol 1 FFAlpha -0.001212 -0.69 big LOW
oibvol 2 FFAlpha -0.003113 -1.41 big LOW
oibvol 4 FFAlpha -0.0100 -2.80 big LOW
oibvol 6 FFAlpha -0.0121 -2.83 big LOW
oibvol 8 FFAlpha -0.008221 -2.42 big LOW
oibvol 10 FFAlpha -0.004591 -1.63 big LOW
oibvol 12 FFAlpha -0.001077 -0.76 big LOW
oibvol 1 FFAlpha 0.000891 0.54 NA LOW
oibvol 1 RawReturn 0.000717 0.43 NA LOW
oibvol 2 FFAlpha 0.002131 0.98 NA LOW
oibvol 2 RawReturn 0.001128 0.43 NA LOW
oibvol 4 FFAlpha -0.001658 -0.50 NA LOW
oibvol 4 RawReturn -0.004033 -1.17 NA LOW
oibvol 6 FFAlpha -0.005558 -1.84 NA LOW
oibvol 6 RawReturn -0.006675 -1.50 NA LOW
