_OIB_ _RET_ _SUBGRP_ CLASSVAR_GRP Estimate tValue NOBS IQR order
oibvol "Bid ask" MKTCAP small -0.00012 -0.20 44640 1.0298321102 1.1
oibvol "Bid ask" MKTCAP medium 0.000722 0.98 45632 0.7881241152 1.2
oibvol "Bid ask" MKTCAP big -0.00112 -1.48 45136 0.5154680709 1.3
oibtrd "Bid ask" MKTCAP small 0.000048 0.05 44640 0.7812991962 1.1
oibtrd "Bid ask" MKTCAP medium -0.00033 -0.46 45632 0.5646299584 1.2
oibtrd "Bid ask" MKTCAP big -0.0023 -1.89 45136 0.3965361052 1.3
oibvol "Bid ask" "Share price" small -0.00096 -1.60 44640 0.9214950761 1.1
oibvol "Bid ask" "Share price" medium 0.000784 0.82 45632 0.7397482696 1.2
oibvol "Bid ask" "Share price" big 0.000286 0.46 45136 0.5973234997 1.3
oibtrd "Bid ask" "Share price" small -0.00101 -1.21 44640 0.844729147 1.1
oibtrd "Bid ask" "Share price" medium -0.00017 -0.19 45632 0.575533869 1.2
oibtrd "Bid ask" "Share price" big 0.00102 0.91 45136 0.3737829616 1.3
oibvol "Bid ask" Turnover small -0.00039 -0.61 44640 0.833606369 1.1
oibvol "Bid ask" Turnover medium 0.00079 0.95 45632 0.7406418085 1.2
oibvol "Bid ask" Turnover big -0.0004 -0.41 45136 0.6521308649 1.3
oibtrd "Bid ask" Turnover small -0.00131 -1.49 44640 0.5591450943 1.1
oibtrd "Bid ask" Turnover medium 0.00012 0.13 45632 0.5284130694 1.2
oibtrd "Bid ask" Turnover big -0.00068 -0.60 45136 0.5761135451 1.3
