_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibvol 1 FFAlpha 0.001505 3.44 small NA
oibvol 2 FFAlpha 0.001832 2.74 small NA
oibvol 4 FFAlpha 0.004066 3.01 small NA
oibvol 6 FFAlpha 0.004729 2.79 small NA
oibvol 8 FFAlpha 0.002182 0.87 small NA
oibvol 10 FFAlpha 0.001962 0.62 small NA
oibvol 12 FFAlpha 0.001302 0.34 small NA
oibvol 1 FFAlpha 0.000703 1.61 medium NA
oibvol 2 FFAlpha 0.000238 0.39 medium NA
oibvol 4 FFAlpha -0.000245 -0.26 medium NA
oibvol 6 FFAlpha -0.001642 -1.67 medium NA
oibvol 8 FFAlpha -0.002428 -1.94 medium NA
oibvol 10 FFAlpha -0.002631 -1.79 medium NA
oibvol 12 FFAlpha -0.003234 -2.22 medium NA
oibvol 1 FFAlpha -0.000418 -0.91 big NA
oibvol 2 FFAlpha -0.000699 -1.01 big NA
oibvol 4 FFAlpha -0.001076 -0.94 big NA
oibvol 6 FFAlpha -0.001964 -1.51 big NA
oibvol 8 FFAlpha -0.002540 -1.30 big NA
oibvol 10 FFAlpha -0.001886 -0.70 big NA
oibvol 12 FFAlpha -0.002213 -0.79 big NA
oibvol 1 FFAlpha -0.000216 -0.50 NA NA
oibvol 1 RawReturn -0.000081 -0.19 NA NA
oibvol 2 FFAlpha 0.0000144 0.03 NA NA
oibvol 2 RawReturn 0.000604 1.00 NA NA
oibvol 4 FFAlpha -0.000169 -0.18 NA NA
oibvol 4 RawReturn 0.001072 1.00 NA NA
oibvol 6 FFAlpha -0.001252 -1.01 NA NA
oibvol 6 RawReturn 0.000854 0.57 NA NA
oibvol 8 FFAlpha -0.002406 -1.36 NA NA
oibvol 8 RawReturn 0.000831 0.45 NA NA
oibvol 10 FFAlpha -0.002540 -1.06 NA NA
oibvol 10 RawReturn 0.000278 0.13 NA NA
oibvol 12 FFAlpha -0.002701 -0.92 NA NA
oibvol 12 RawReturn 0.000737 0.27 NA NA
oibvol 1 FFAlpha 0.004868 2.28 small LOW
oibvol 2 FFAlpha 0.004794 1.33 small LOW
oibvol 4 FFAlpha 0.003662 0.66 small LOW
oibvol 6 FFAlpha 0.0103 1.62 small LOW
oibvol 8 FFAlpha 0.006504 0.87 small LOW
oibvol 10 FFAlpha 0.0120 1.59 small LOW
oibvol 12 FFAlpha 0.008410 1.26 small LOW
oibvol 1 FFAlpha 0.001453 1.16 medium LOW
oibvol 2 FFAlpha 0.001572 0.80 medium LOW
oibvol 4 FFAlpha 0.004131 1.23 medium LOW
oibvol 6 FFAlpha 0.005355 1.30 medium LOW
oibvol 8 FFAlpha 0.006590 1.33 medium LOW
oibvol 10 FFAlpha 0.009438 1.50 medium LOW
