_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibvol 1 FFAlpha 0.002829 4.93 small NA
oibvol 2 FFAlpha 0.003454 3.46 small NA
oibvol 4 FFAlpha 0.004675 2.75 small NA
oibvol 6 FFAlpha 0.006171 3.00 small NA
oibvol 8 FFAlpha 0.004734 1.94 small NA
oibvol 10 FFAlpha 0.002357 1.08 small NA
oibvol 12 FFAlpha 0.000370 0.19 small NA
oibvol 1 FFAlpha 0.000946 1.86 medium NA
oibvol 2 FFAlpha 0.001039 1.41 medium NA
oibvol 4 FFAlpha 0.000395 0.36 medium NA
oibvol 6 FFAlpha -0.000735 -0.45 medium NA
oibvol 8 FFAlpha -0.002632 -1.56 medium NA
oibvol 10 FFAlpha -0.004327 -2.23 medium NA
oibvol 12 FFAlpha -0.005590 -2.52 medium NA
oibvol 1 FFAlpha -0.000435 -1.01 big NA
oibvol 2 FFAlpha -0.001034 -1.36 big NA
oibvol 4 FFAlpha -0.001575 -1.13 big NA
oibvol 6 FFAlpha -0.003310 -2.04 big NA
oibvol 8 FFAlpha -0.004159 -1.93 big NA
oibvol 10 FFAlpha -0.004143 -1.57 big NA
oibvol 12 FFAlpha -0.004571 -1.33 big NA
oibvol 1 FFAlpha -0.000080 -0.16 NA NA
oibvol 1 RawReturn 0.0000224 0.05 NA NA
oibvol 2 FFAlpha -0.000585 -0.90 NA NA
oibvol 2 RawReturn 0.000172 0.25 NA NA
oibvol 4 FFAlpha -0.001402 -1.13 NA NA
oibvol 4 RawReturn 0.000607 0.44 NA NA
oibvol 6 FFAlpha -0.002489 -1.48 NA NA
oibvol 6 RawReturn 0.000981 0.46 NA NA
oibvol 8 FFAlpha -0.003496 -1.55 NA NA
oibvol 8 RawReturn 0.000400 0.15 NA NA
oibvol 10 FFAlpha -0.003646 -1.30 NA NA
oibvol 10 RawReturn 0.000192 0.06 NA NA
oibvol 12 FFAlpha -0.004469 -1.26 NA NA
oibvol 12 RawReturn 0.000815 0.21 NA NA
oibvol 1 FFAlpha 0.004074 1.69 small LOW
oibvol 2 FFAlpha 0.005705 1.57 small LOW
oibvol 4 FFAlpha 0.008926 1.37 small LOW
oibvol 6 FFAlpha 0.0145 2.02 small LOW
oibvol 8 FFAlpha 0.0112 1.32 small LOW
oibvol 10 FFAlpha 0.008446 0.98 small LOW
oibvol 12 FFAlpha 0.008128 1.32 small LOW
oibvol 1 FFAlpha 0.001305 1.00 medium LOW
oibvol 2 FFAlpha 0.001464 0.67 medium LOW
oibvol 4 FFAlpha 0.003325 0.99 medium LOW
oibvol 6 FFAlpha 0.004924 1.15 medium LOW
oibvol 8 FFAlpha 0.006997 1.33 medium LOW
oibvol 10 FFAlpha 0.0103 1.44 medium LOW
oibvol 12 FFAlpha 0.009282 1.22 medium LOW
oibvol 1 FFAlpha -0.000873 -0.89 big LOW
oibvol 2 FFAlpha -0.000541 -0.36 big LOW
oibvol 4 FFAlpha -0.002372 -0.92 big LOW
oibvol 6 FFAlpha -0.002311 -0.62 big LOW
oibvol 8 FFAlpha -0.003450 -0.74 big LOW
oibvol 10 FFAlpha -0.005785 -1.07 big LOW
oibvol 12 FFAlpha -0.006438 -1.27 big LOW
oibvol 1 FFAlpha -0.000589 -0.49 NA LOW
oibvol 1 RawReturn -0.000225 -0.22 NA LOW
oibvol 2 FFAlpha 0.000467 0.26 NA LOW
oibvol 2 RawReturn 0.001404 0.83 NA LOW
oibvol 4 FFAlpha -0.002227 -0.86 NA LOW
oibvol 4 RawReturn 0.001225 0.40 NA LOW
oibvol 6 FFAlpha -0.002285 -0.67 NA LOW
oibvol 6 RawReturn 0.001816 0.45 NA LOW
oibvol 8 FFAlpha -0.002216 -0.61 NA LOW
oibvol 8 RawReturn 0.001257 0.30 NA LOW
oibvol 10 FFAlpha -0.002508 -0.67 NA LOW
oibvol 10 RawReturn 0.000380 0.08 NA LOW
oibvol 12 FFAlpha -0.002097 -0.44 NA LOW
oibvol 12 RawReturn 0.001054 0.17 NA LOW
oibvol 1 FFAlpha 0.003729 6.19 small HIGH
oibvol 2 FFAlpha 0.005561 5.54 small HIGH
oibvol 4 FFAlpha 0.007004 3.78 small HIGH
oibvol 6 FFAlpha 0.008419 3.78 small HIGH
oibvol 8 FFAlpha 0.007681 3.08 small HIGH
oibvol 10 FFAlpha 0.006072 1.92 small HIGH
oibvol 12 FFAlpha 0.006751 2.00 small HIGH
oibvol 1 FFAlpha 0.001179 2.49 medium HIGH
